"","name","degree","normalized","eigenvector","eigen_derived","eigen_reflective","betweenness","closeness","bonacich","bonacich_rescaled","constraint"
"Eric Andersen","Eric Andersen",1,0.0416666666666667,0.0488364373742657,0.987577639751553,0.0124223602484472,0,0.0185185185185185,-0.274773712976972,-0.0519068925274835,1
"John Barlow","John Barlow",29,1.20833333333333,0.0776351190117273,0.764812575574365,0.235187424425635,0.670846394984326,0.0196078431372549,-0.31047947689338,-0.0586519891749784,0.670622168610765
"Bob Bralove","Bob Bralove",8,0.333333333333333,0.127706003439418,0.97337962962963,0.0266203703703704,0.121601289929227,0.0204081632653061,-0.216360715751548,-0.0408722228120353,0.498916988790121
"Andrew Charles","Andrew Charles",1,0.0416666666666667,0.0431746284084272,0.982905982905983,0.0170940170940171,0,0.0175438596491228,0.0806063604398641,0.0152271687238665,1
"John Dawson","John Dawson",2,0.0833333333333333,0.0797769362766867,0.993377483443709,0.00662251655629139,0,0.0175438596491228,0.0951954101795218,0.0179831537440857,1.29452379377989
"Willie Dixon","Willie Dixon",2,0.0833333333333333,0.0642380122505995,0.982352941176471,0.0176470588235294,0,0.0188679245283019,-0.423653478574854,-0.0800314387538319,0.7040589569161
"Jerry Garcia","Jerry Garcia",142,5.91666666666667,0.330587144741525,0.653854684173172,0.346145315826828,16.5843641297276,0.0263157894736842,-0.250187005343455,-0.0472622721345401,0.506190805249136
"Donna Godchaux","Donna Godchaux",6,0.25,0.238342214172543,0.97716894977169,0.0228310502283105,0,0.0227272727272727,1.2064950807812,0.227916309076828,0.451421921607786
"Keith Godchaux","Keith Godchaux",10,0.416666666666667,0.273500640551288,0.982001439884809,0.0179985601151908,0.00934579439252336,0.0232558139534884,1.15700910960241,0.218568024047063,0.5143887363373
"Gerrit Graham","Gerrit Graham",1,0.0416666666666667,0.0488364373742657,0.987577639751553,0.0124223602484472,0,0.0185185185185185,-0.274773712976972,-0.0519068925274835,1
"Frank Guida","Frank Guida",2,0.0833333333333333,0.0338872655451517,0.962025316455696,0.0379746835443038,0,0.0161290322580645,3.01093774981938,0.568789570492559,0.822400038446751
"Mickey Hart","Mickey Hart",18,0.75,0.273500640551288,0.944887875332573,0.0551121246674268,0.0373831775700935,0.0232558139534884,0.150324923342103,0.0283975477696975,0.52940135996863
"Robert Hunter","Robert Hunter",117,4.875,0.323358071863187,0.62867245109214,0.37132754890786,24.106816159566,0.027027027027027,-0.170144687145531,-0.0321416553792594,0.633263625336735
"Bill Kreutzmann","Bill Kreutzmann",62,2.58333333333333,0.321913071678831,0.894721055788842,0.105278944211158,3.13204196529775,0.0256410256410256,-0.687538799619762,-0.129881429317545,0.515978696266999
"Ned Lagin","Ned Lagin",1,0.0416666666666667,0.0431746284084272,0.982905982905983,0.0170940170940171,0,0.0175438596491228,0.0806063604398641,0.0152271687238665,1
"Phil Lesh","Phil Lesh",81,3.375,0.353909827159362,0.85369708631116,0.14630291368884,90.3966401657878,0.0294117647058824,-0.17715719089439,-0.0334663719050761,0.452199587430686
"Peter Monk","Peter Monk",1,0.0416666666666667,0.0431746284084272,0.982905982905983,0.0170940170940171,0,0.0175438596491228,0.0806063604398641,0.0152271687238665,1
"Brent Mydland","Brent Mydland",11,0.458333333333333,0.108361724598414,0.769926047658176,0.230073952341824,1.30694067780423,0.0212765957446809,0.516288685814363,0.0975309502403813,0.932513310577622
"Dave Parker","Dave Parker",5,0.208333333333333,0.201364967839632,0.991031390134529,0.00896860986547085,0,0.0232558139534884,-0.87412960616607,-0.16512988462676,0.559108284102828
"Robert Petersen","Robert Petersen",5,0.208333333333333,0.0563940330010903,0.936781609195402,0.0632183908045977,0,0.0181818181818182,1.09647767890807,0.20713316576479,0.713469650993033
"Pigpen","Pigpen",51,2.125,0.24389245677897,0.886896707262066,0.113103292737934,44.0285714285714,0.025,-0.515527102668508,-0.0973870812578852,0.540455233784807
"Joe Royster","Joe Royster",2,0.0833333333333333,0.0338872655451517,0.962025316455696,0.0379746835443038,0,0.0161290322580645,3.01093774981938,0.568789570492559,0.822400038446751
"Rob Wasserman","Rob Wasserman",6,0.25,0.126249348317819,0.979057591623037,0.0209424083769634,0.945970695970696,0.0204081632653061,-0.406643316932137,-0.076818086855291,0.475623371045888
"Bob Weir","Bob Weir",105,4.375,0.400320645395713,0.78260427780318,0.21739572219682,121.659478120398,0.032258064516129,-0.532537264311226,-0.100600433156426,0.336735468032333
"Vince Welnick","Vince Welnick",7,0.291666666666667,0.119264808200263,0.972222222222222,0.0277777777777778,0,0.02,-0.0779912148432743,-0.0147331473709677,0.521631897979173
